,GSM818563,GSM818564,GSM818565,GSM818566,GSM818567,GSM818568,GSM818569,GSM818570,GSM818571,GSM818572,GSM818573,GSM818574,GSM818575,GSM818576,GSM818577,GSM818578,GSM818579,GSM818580,GSM818581,GSM818582
FOSB,0.01515964,0,0,0,0.001888032,0,0,0,0.002331588,0,0,0,0,0.000476217,0,0.001294677,0,0.002552709,0,0
DKFZp779M0652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDXK,1.28295745,1.3376776,0,1.19898335,1.31531225,1.4161398,1.20274,0.8427215,1.11640295,0.8867018,0.9046906,0.87494465,1.0413659,0.256180765,1.1102975,1.1915637,1.2550865,0.9100979,1.3795147,1.48195055
LRRCC1,0,0,0,0,0.00022264,0,0,0.00169342,0,0,0,0,0,0.001799865,0,0.003407685,0,0.004356536,0,0
FNIP1,0.26778975,0.4358808,0,0.4590675,0.14831918,0.25047883,0.3955246,0.14400052,0.104667406,0.13773931,0.19139707,0.11905646,0.174284075,0.20927307,0.14317272,0.067029405,0.08613964,0.08275549,0.056953915,0.05807559
FNIP2,0,0.010773862,0,0.010197015,0.000607518,0.002594528,0,0.005801444,0.021994156,0.001156671,0.005747724,0.005915408,0.003003544,0.04933251,0.013341173,0.01341251,0.013349654,0.007980003,0.030127334,0.01966646
AKAP8L,2.0920825,2.3343425,0,1.3304158,1.27227835,1.2235403,1.8560495,0.7931867,1.00918715,0.9523822,0.6542485,0.7981453,0.97558845,0.80635215,0.94764025,0.8584598,0.811277,1.09443735,0.77834285,1.58362305
PDCD6,0,0.053256555,0,0,0.011286301,0,0,0,0,0.014938046,0,0.013060508,0,0,0,0,0,0,0,0
PDCD7,0,0,0,0,0.000393696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDCD4,0.176488305,0.17923773,1.09443735,0.185582315,0.31103527,0.220641345,0.207399115,0.282464265,0.4299655,0.33456365,0.3697922,0.82922515,0.6512565,3.561817,0.8896344,0.89793615,0.60002375,0.4141086,0.76022145,0.9546761
PDCD5,0,0,0,0,0,0,0,0,0.003451434,0,0,0,0.006332493,0.000554324,0,0,0,0,0,0
TCF20,0.04128801,0,0.114788035,0,0,0,0.014905446,0,0.119007755,0,0.07532419,0,0.010815677,0,0.182979145,0,0.21933827,0,0.133434335,0
TCF21,0,0,0,0,0.005371365,0.002314045,0,0.008106284,0.008934013,0,0,0.00795121,0.002769312,0,0,0,0,0,0,0
TCF23,0.086224405,0,0,0,0.013291344,0.019775277,0,0,0,0.017245435,0,0,0,0.03812732,0,0,0.057089845,0,0,0
PRUNE,0.03361984,0.113905915,0.6627034,0.104047861,0.100393642,0.194878955,0.09165885,0.109223905,0.12367558,0.085055015,0.04448809,0.158537405,0.084693115,0.215098475,0.041797195,0.04224463,0.0575362,0.0538318,0.071778475,0.062136655
MINA,0,0,0,0,0,0,0,0.000421659,0,0,0,0,0,0.000254765,0.00437716,0,0,0,0,0
HDLBP,0,0,0,0,0.007337936,0.002580409,0.005975921,0.000960443,0.001413438,0.005551975,0,0.002728782,0,0.000509981,0,0.00157206,0.003263835,0.003160661,0.002580409,0
ARFGEF1,0,0,0,0,0,0,0,0.000865308,0.001428926,0,0,0,0,4.10E-05,0.013277841,0,0,0,0.001103358,0
ARFGEF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001969733,0,0,0,0
PLEKHA8P1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAPH3-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAPH3-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB39B,0,0,0,0,0.000262491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB39A,0,0,0,0,0.002357095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL12B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL12A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIGLA,0,0,0,0,0,0.022163028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008929328,0.011035397
C21orf15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC22C,0.3261197,0.240738175,0,0.253342345,0.313848155,0.31828855,0.35199925,0.221821685,0.14400052,0.057969305,0.248692105,0.34444415,0.3618985,0.04145625,0.44502525,0.45286895,0.53731415,0.15440784,0.199551405,0.16972747
SEC22B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEC22A,0,0.01398042,0,0.00896695,0.006163018,0.002053661,0.010082192,0.000618954,0.003027597,0.002219434,0.007648801,0.004553569,0.000552066,0,0.016613532,0.011643232,0.009456138,0,0.013658246,0.004246775
INSL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELANE,0.5684708,0.764281,0,0.65898665,1.1642915,1.10517025,0.76288295,1.25166315,0.9597366,1.01713295,0.93788795,0.42028525,0.4872456,0.005932811,0.35062735,0.4238521,0.5291126,0.74154145,0.23748103,0.75040535
CELA2A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CELA2B,0,0,0,0,0,0.015972876,0,0,0,0,0,0,0,0.007087371,0,0,0,0,0,0
PDCD10,0,0,0,0,0,0,0,0,0,0.014484817,0,0,0.004627483,0.000712336,0,0,0,0.016142162,0,0
PDCD11,0.100731734,0.09867749,0.52825185,0.149910555,0.048785945,0.06739584,0.13294628,0.084990525,0.08189246,0.060985905,0.15908327,0.099206847,0.094599221,0.035965375,0.06771696,0.066085945,0.061802535,0.06642516,0.04988469,0.04851698
ATPIF1,0,0,0,0,0,0,0,0.000766432,0,0,0,0,0,0.014302999,0,0.003608561,0,0,0,0
PRNT,0,0,0,0,0.000953828,0.004732495,0,0,0,0,0.010644553,0,0,0.00028722,0,0,0.00194411,0,0.004164073,0
PRNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010288752,0,0,0,0
TMEM59,0,0.025617095,0.46452335,0,0.043539925,0.006620005,0.054624578,0.041910095,0.038225298,0.026003522,0.047455175,0.028758714,0.006387115,0.1149786,0.139798125,0.04527069,0.0317243,0.094998892,0.05342906,0.064895995
PRND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004330226,0,0,0
TMEM57,0.091942745,0.047586975,0.41350885,0.110989115,0.05169559,0.053122815,0.07563738,0.05465699,0.0687591,0.060860035,0.10938892,0.096913222,0.08914348,0.119243585,0.0984542,0.12253576,0.08743314,0.08672826,0.13474647,0.166521995
